"ProposedWorkID","MuralName","HeroImageFormula","PublicHeroImageURL","DetailPageURL","LocalDetailFile","DetailExists","ExistingWorkIDsInPage","YearFromPage","LocationFromPage","PageTitle","IndexImageRelativePath","HeroImageInPage","HeroImagePublicURLFromPage","HeroFileExists","HasGalleryToPreserve","GalleryImageCount","GalleryImages","SourceLinkCount","HasPublishedViaFooter","RecommendedAction"
"RE-011967","Medicine Agency, 2009","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/medicine-agency.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/medicine-agency.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/medicine-agency-2009.html","medicine-agency-2009.html","Yes","","2009","Medicine Agency, San Francisco, California, United States","Medicine Agency, 2009","../images/murals/medicine-agency.jpg","../images/murals/medicine-agencyL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/medicine-agencyL.jpg","Yes","Yes","6","../images/murals/Medicine-Agency-3.jpg | ../images/murals/Medicine-Agency-4.jpg | ../images/murals/Medicine-Agency-5.jpg | ../images/murals/Medicine-Agency-6.jpg | ../images/murals/Medicine-Agency-7.jpg | ../images/murals/Medicine-Agency-1.jpg","2","No","Convert page format; preserve gallery and sources"
"RE-011968","Absolut Elvis, Milan, 2010","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/absolut-elvis.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/absolut-elvis.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/absolut-elvis-milan-2010.html","absolut-elvis-milan-2010.html","Yes","","2010 (Juneâ€“October)","Colonne di San Lorenzo / Basilica San Lorenzo Maggiore area, Milan, Italy","Absolut Elvis, Milan, 2010","../images/murals/absolut-elvis.jpg","../images/murals/absolut-elvish.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/absolut-elvish.jpg","Yes","Yes","6","../images/murals/elvis-1.jpg | ../images/murals/elvis-2.jpg | ../images/murals/elvis-3.jpg | ../images/murals/elvis-4.jpg | ../images/murals/elvis-5.jpg | ../images/murals/elvis-6.jpg","10","No","Convert page format; preserve gallery and sources"
"RE-011969","Primary Flight, 2010","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/primary-2010.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/primary-2010.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/primary-flight-2010.html","primary-flight-2010.html","Yes","","2010","Wynwood, Miami, Florida, United States","Primary Flight, 2010","../images/murals/primary-2010.jpg","../images/murals/primary-2010L.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/primary-2010L.jpg","Yes","Yes","1","../images/murals/Primary-Flight-2010-3.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-011970","Urban Bigfoot, 2010","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/bigfoot.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/bigfoot.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/urban-bigfoot-2010.html","urban-bigfoot-2010.html","Yes","","2010","Los Angeles Arts District, Los Angeles, California, United States","Urban Bigfoot, 2010","../images/murals/bigfoot.jpg","../images/murals/bigfootL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/bigfootL.jpg","Yes","Yes","6","../images/murals/Urban-Bigfoot-2013-1.jpg | ../images/murals/Urban-Bigfoot-2013-2.jpg | ../images/murals/Urban-Bigfoot-2013-3.jpg | ../images/murals/Urban-Bigfoot-2013-4.jpg | ../images/murals/Urban-Bigfoot-2013-5.jpg | ../images/murals/Urban-Bigfoot-2013-6.jpg","7","No","Convert page format; preserve gallery and sources"
"RE-011988","Wynwood Babyhulk, 2010","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/wynwood-babyhulk.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/wynwood-babyhulk.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/wynwood-babyhulk-2010.html","wynwood-babyhulk-2010.html","Yes","","2010","Wynwood Walls, Miami, Florida, United States","Wynwood Baby Hulk / Temper Tot, 2010","../images/murals/wynwood-babyhulk.jpg","../images/murals/wynwood-babyhulkL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/wynwood-babyhulkL.jpg","Yes","Yes","6","../images/murals/babyhulk-1.jpg | ../images/murals/babyhulk-2.jpg | ../images/murals/babyhulk-3.jpg | ../images/murals/babyhulk-4.jpg | ../images/murals/babyhulk-5.jpg | ../images/murals/babyhulk-6.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-011989","Reynosa Border Wall, 2011","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/welcome-wall.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/welcome-wall.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/reynosa-border-wall-2011.html","reynosa-border-wall-2011.html","Yes","","2011","Reynosa, Tamaulipas, Mexico â€” near the U.S.â€“Mexico border","Reynosa Border Wall, 2011","../images/murals/welcome-wall.jpg","../images/murals/welcome-wallL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/welcome-wallL.jpg","Yes","No","0","","4","No","Convert page format"
"RE-011990","London Pleasure Garden, 2012","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/lpg.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/lpg.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/lpg-2012.html","lpg-2012.html","Yes","","2012","London Pleasure Gardens, Royal Victoria Docks, London, United Kingdom","London Pleasure Gardens, 2012","../images/murals/lpg.jpg","../images/murals/lpgL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/lpgL.jpg","Yes","No","0","","6","No","Convert page format"
"RE-011991","Nuart, 2012","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/nuart-mural.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/nuart-mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/nuart-2012.html","nuart-2012.html","Yes","","2012","Atlantic Hotel faÃ§ade, Stavanger, Norway","Nuart, 2012","../images/murals/nuart-mural.jpg","../images/murals/nuart-1.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/nuart-1.jpg","Yes","Yes","6","../images/murals/nuart-2.jpg | ../images/murals/nuart-3.jpg | ../images/murals/nuart-4.jpg | ../images/murals/nuart-5.jpg | ../images/murals/nuart-6.jpg | ../images/murals/nuart-7.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-011992","Temper Tot, Little Italy, 2012","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/little-italy-2012.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/little-italy-2012.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/temper-tot-little-italy-2012.html","temper-tot-little-italy-2012.html","Yes","","2012","Mulberry Street, Little Italy, Manhattan, New York, United States","Temper Tot, Little Italy, 2012","../images/murals/little-italy-2012.jpg","../images/murals/little-italy-2012.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/little-italy-2012.jpg","Yes","No","0","","5","No","Convert page format"
"RE-011993","Avant-Garde Urbano, 2013","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/avant-garde.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/avant-garde.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/avant-garde-urbano-2013.html","avant-garde-urbano-2013.html","Yes","","2013","AvilÃ©s / Asturias region, Spain","Avant-Garde Urbano, 2013","../images/murals/avant-garde.jpg","../images/murals/avant-gardeL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/avant-gardeL.jpg","Yes","Yes","5","../images/murals/avant-1.jpg | ../images/murals/avant-2.jpg | ../images/murals/avant-3.jpg | ../images/murals/avant-5.jpg | ../images/murals/avant-4.jpg","3","No","Convert page format; preserve gallery and sources"
