"WorkID","Title","File","HeroImage","Date","Location","GalleryImageCount","SourceLinkCount","IndexCardAdded"
"RE-012035","Bowery Wall, 2015","bowery-wall-2015.html","../images/murals/Bowrey-Mural.jpg","2015","Bowery and Houston Wall, New York, New York, United States","0","5","Yes"
"RE-012036","Chico Mendez Memorial Mural, 1997","chico-mendez-memorial-mural-1997.html","../images/murals/chicomendez.jpg","1997","509 E. 11th Street, Manhattan, New York City, United States","0","4","Yes"
