"File","OldTitle","NewTitle","DateBefore","LocationBefore","PageChanged","TitleStandardizedOrChanged","DateNormalized","LocationNormalized","GenericNotesRemoved","MojibakeWarningAfter"
"punk-pink-skunk-2021.html","Punk Pink Skunk","","2021","Coney Art Walls, Coney Island, Brooklyn, New York, United States","No","No","No","No","No","No"
"reynosa-border-wall-2011.html","Reynosa Border Wall","","2011","Reynosa, Tamaulipas, Mexico â — near the U.S.â…“Mexico border","Yes","No","No","Yes","No","No"
"rxsm-spiderhouse-2015.html","RXSM, Spiderhouse","","2015","Spider House Cafe & Ballroom, Austin, Texas, United States","No","No","No","No","No","No"
"spider-house-face-2015.html","Spider House Face","","2015","Spider House, Austin, Texas, United States","No","No","No","No","No","No"
"stlouis-loop-mural-2024.html","St. Louis Loop Mural","","2024 (May 31)","Delmar Loop, St. Louis, Missouri, United States","No","No","No","No","No","No"
"temper-tot-little-italy-2012.html","Temper Tot, Little Italy","","2012","Mulberry Street, Little Italy, Manhattan, New York, United States","No","No","No","No","No","No"
"temper-tot-little-italy-2015.html","Temper Tot, Little Italy","","2015","Little Italy (Mulberry Street), Manhattan, New York, United States","No","No","No","No","No","No"
"texas-tantrum-trots-and-pals.html","Texas Tantrum Trots and Pals","","2022 (November)","Deep Ellum, Dallas, Texas, United States","No","No","No","No","No","No"
"trumpty-dumpty-2017.html","Trumpty Dumpty","","2017","Troutman Street, Bushwick, Brooklyn, New York, United States","No","No","No","No","No","No"
"urban-bigfoot-2010.html","Urban Bigfoot","","2010","Los Angeles Arts District, Los Angeles, California, United States","No","No","No","No","No","No"
"victoria-2015.html","Victoria","","2015 (March 18â…“22)","Downtown Victoria, Texas, United States","Yes","No","Yes","No","No","No"
"west-bank-2007.html","West Bank","","2007","Bethlehem area, Palestine â — West Bank separation barrier","Yes","No","No","Yes","No","No"
"wynwood-2018.html","Wynwood","","2018","Wynwood Walls, Miami, Florida, United States","No","No","No","No","No","No"
"wynwood-babyhulk-2010.html","Wynwood Babyhulk","","2010","Wynwood Walls, Miami, Florida, United States","No","No","No","No","No","No"
"zelephant-south-haven-2014.html","Zelephant, South Haven","","2014","South Haven, Michigan, United States","No","No","No","No","No","No"
